Name ,Link,Party,Acct
"Reschenthaler, Guy",https://twitter.com/GReschenthaler,R,GReschenthaler
"Rice, Tom",https://twitter.com/RepTomRice,R,RepTomRice
"Rodgers, Cathy McMorris",https://twitter.com/cathymcmorris,R,cathymcmorris
"Rogers, Harold",https://twitter.com/RepHalRogers,R,RepHalRogers
"Rogers, Mike",https://twitter.com/RepMikeRogersAL,R,RepMikeRogersAL
"Rose, John W.",https://twitter.com/RepJohnRose,R,RepJohnRose
"Rosendale, Matthew M.",https://twitter.com/RepRosendale,R,RepRosendale
"Rouzer, David",https://twitter.com/RepDavidRouzer,R,RepDavidRouzer
"Roy, Chip",https://twitter.com/RepChipRoy,R,RepChipRoy
"Rutherford, John",https://twitter.com/RepRutherfordFL,R,RepRutherfordFL
"Salazar, Maria Elvira",https://twitter.com/RepMariaSalazar,R,RepMariaSalazar
"Scalise, Steve",https://twitter.com/SteveScalise,R,SteveScalise
"Schweikert, David",https://twitter.com/RepDavid,R,RepDavid
"Scott, Austin",https://twitter.com/AustinScottGA08,R,AustinScottGA08
"Sessions, Pete",https://twitter.com/PeteSessions,R,PeteSessions
"Simpson, Mike",https://twitter.com/CongMikeSimpson,R,CongMikeSimpson
"Smith, Adrian",https://twitter.com/RepAdrianSmith,R,RepAdrianSmith
"Smith, Chris",,R,
"Smith, Jason",https://twitter.com/RepJasonSmith,R,RepJasonSmith
"Smucker, Lloyd",https://twitter.com/RepSmucker,R,RepSmucker
"Spartz, Victoria",https://twitter.com/RepSpartz,R,RepSpartz
"Stauber, Pete",https://twitter.com/RepPeteStauber,R,RepPeteStauber
"Steel, Michelle",https://twitter.com/RepSteel,R,RepSteel
"Stefanik, Elise",https://twitter.com/RepStefanik,R,RepStefanik
"Steil, Bryan",https://twitter.com/RepBryanSteil,R,RepBryanSteil
"Steube, W. Gregory",https://twitter.com/RepGregSteube,R,RepGregSteube
"Stewart, Chris",https://twitter.com/RepChrisStewart,R,RepChrisStewart
"Taylor, Van",https://twitter.com/RepVanTaylor,R,RepVanTaylor
"Tenney, Claudia",https://twitter.com/claudiatenney,R,claudiatenney
"Thompson, Glenn",https://twitter.com/CongressmanGT,R,CongressmanGT
"Tiffany, Thomas P.",https://twitter.com/RepTiffany,R,RepTiffany
"Timmons, William",https://twitter.com/RepTimmons,R,RepTimmons
"Turner, Mike",https://twitter.com/RepMikeTurner,R,RepMikeTurner
"Upton, Fred",https://twitter.com/RepFredUpton,R,RepFredUpton
"Valadao, David G.",https://twitter.com/RepDavidValadao,R,RepDavidValadao
"Van Drew, Jefferson",,R,
"Van Duyne, Beth",https://twitter.com/RepBethVanDuyne,R,RepBethVanDuyne
"Veasey, Marc",https://twitter.com/RepVeasey,R,RepVeasey
"Wagner, Ann",https://twitter.com/RepAnnWagner,R,RepAnnWagner
"Walberg, Tim",https://twitter.com/RepWalberg,R,RepWalberg
"Walorski, Jackie",https://twitter.com/RepWalorski,R,RepWalorski
"Waltz, Michael",https://twitter.com/michaelgwaltz,R,michaelgwaltz
"Wasserman Schultz, Debbie",https://twitter.com/RepDWStweets,R,RepDWStweets
"Weber, Randy",https://twitter.com/TXRandy14,R,TXRandy14
"Webster, Daniel",https://twitter.com/RepWebster,R,RepWebster
"Wenstrup, Brad",https://twitter.com/RepBradWenstrup,R,RepBradWenstrup
"Westerman, Bruce",https://twitter.com/RepWesterman,R,RepWesterman
"Williams, Roger",https://twitter.com/RepRWilliams,R,RepRWilliams
"Wilson, Joe",https://twitter.com/RepJoeWilson,R,RepJoeWilson
"Wittman, Robert J.",https://twitter.com/RobWittman,R,RobWittman
"Womack, Steve",https://twitter.com/rep_stevewomack,R,rep_stevewomack
"Young, Don",https://twitter.com/repdonyoung,R,repdonyoung
"Zeldin, Lee",https://twitter.com/RepLeeZeldin,R,RepLeeZeldin
"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,D,SenatorBaldwin
"Bennet, Michael F.",https://twitter.com/SenatorBennet,D,SenatorBennet
"Blumenthal, Richard",https://twitter.com/SenBlumenthal,D,SenBlumenthal
"Booker, Cory A.",https://twitter.com/CoryBooker,D,CoryBooker
"Brown, Sherrod",https://twitter.com/SenSherrodBrown,D,SenSherrodBrown
"Cantwell, Maria",https://twitter.com/SenatorCantwell,D,SenatorCantwell
"Cardin, Benjamin L.",https://twitter.com/SenatorCardin,D,SenatorCardin
"Carper, Thomas R.",https://twitter.com/SenatorCarper,D,SenatorCarper
"Casey, Robert P. Jr.",https://twitter.com/SenBobCasey,D,SenBobCasey
"Coons, Christopher A.",https://twitter.com/ChrisCoons,D,ChrisCoons
"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,D,SenCortezMasto
"Duckworth, Tammy",https://twitter.com/SenDuckworth,D,SenDuckworth
"Durbin, Richard J.",https://twitter.com/SenatorDurbin,D,SenatorDurbin
"Feinstein, Dianne",https://twitter.com/SenFeinstein,D,SenFeinstein
"Gillibrand, Kirsten E.",https://twitter.com/SenGillibrand,D,SenGillibrand
"Hassan, Margaret Wood",https://twitter.com/SenatorHassan,D,SenatorHassan
"Heinrich, Martin",https://twitter.com/MartinHeinrich,D,MartinHeinrich
"Hickenlooper, John W.",https://twitter.com/SenatorHick,D,SenatorHick
"Hirono, Mazie K.",https://twitter.com/maziehirono,D,maziehirono
"Kaine, Tim",https://twitter.com/timkaine,D,timkaine
